Andy Dalton,CIN,97,146,1234,3,2
Ryan Tannehill,MIA,88,138,1081,6,5
Drew Brees,NO,93,140,1062,8,1
Kirk Cousins,WAS,79,124,989,3,3
Matthew Stafford,DET,81,120,985,7,2
Matt Ryan,ATL,73,103,970,7,1
Jameis Winston,TB,86,142,929,8,6
Eli Manning,NYG,76,107,925,4,3
Andrew Luck,IND,76,124,913,6,2
Derek Carr,OAK,79,118,867,5,1
Carson Palmer,ARI,67,117,862,5,4
Blake Bortles,JAX,79,127,843,5,6
Ben Roethlisberger,PIT,70,118,816,6,4
Cam Newton,CAR,63,108,809,5,5
Philip Rivers,SD,68,99,789,5,0
Alex Smith,KC,79,118,786,3,1
Joe Flacco,BAL,76,118,774,3,4
Carson Wentz,PHI,66,102,769,5,0
Dak Prescott,DAL,66,99,767,1,0
Trevor Siemian,DEN,63,94,756,5,3
Russell Wilson,SEA,64,101,755,2,1
Ryan Fitzpatrick,NYJ,63,113,751,3,7
Marcus Mariota,TEN,67,107,723,4,4
Brock Osweiler,HOU,65,109,695,3,4
Aaron Rodgers,GB,55,94,617,7,1
Case Keenum,LA,49,91,559,2,3
Blaine Gabbert,SF,53,96,532,3,3
Tyrod Taylor,BUF,47,77,527,3,2
Jimmy Garoppolo,NE,42,59,496,4,0
Sam Bradford,MIN,40,59,457,3,0
Brian Hoyer,CHI,39,61,395,2,0
Jay Cutler,CHI,28,46,373,1,2
Josh McCown,CLE,20,33,260,2,2
Cody Kessler,CLE,21,33,244,0,0
Shaun Hill,MIN,18,33,236,0,0
Jacoby Brissett,NE,17,28,195,0,0
Robert Griffin III,CLE,12,26,190,0,1
Trevone Boykin,SEA,7,9,65,1,1
Drew Stanton,ARI,1,4,11,0,0
EJ Manuel,BUF,1,1,10,0,0
Derek Anderson,CAR,1,1,3,0,0
Kellen Clemens,SD,0,1,0,0,0
